Age,Country,Gender,Region,Total or Difference,Year,Literacy rate,Number of Records
65+,Bangladesh,female,Central and Southern Asia,Total,2016,25.02%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2016,52.44%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2016,40.05%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2017,70.09%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2017,75.70%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2017,72.89%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2017,94.38%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2017,91.54%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2017,92.95%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2017,65.01%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2017,72.07%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2017,68.52%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2017,27.17%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2017,51.09%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2017,39.47%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2018,71.18%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2018,76.67%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2018,73.91%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2018,94.91%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2018,91.80%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2018,93.30%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2018,66.82%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2018,72.83%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2018,69.75%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2018,26.76%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2018,53.07%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2018,40.12%,1
15+,Bhutan,female,Central and Southern Asia,Total,2012,48.02%,1
15+,Bhutan,male,Central and Southern Asia,Total,2012,66.00%,1
15+,Bhutan,total,Central and Southern Asia,Total,2012,57.03%,1
15-24,Bhutan,female,Central and Southern Asia,Total,2012,84.49%,1
15-24,Bhutan,male,Central and Southern Asia,Total,2012,90.40%,1
15-24,Bhutan,total,Central and Southern Asia,Total,2012,87.32%,1
25-64,Bhutan,female,Central and Southern Asia,Total,2012,35.61%,1
25-64,Bhutan,male,Central and Southern Asia,Total,2012,61.49%,1
25-64,Bhutan,total,Central and Southern Asia,Total,2012,48.71%,1
65+,Bhutan,female,Central and Southern Asia,Total,2012,3.87%,1
65+,Bhutan,male,Central and Southern Asia,Total,2012,24.28%,1
65+,Bhutan,total,Central and Southern Asia,Total,2012,14.94%,1
15+,Bhutan,female,Central and Southern Asia,Total,2017,57.08%,1
15+,Bhutan,male,Central and Southern Asia,Total,2017,75.02%,1
15+,Bhutan,total,Central and Southern Asia,Total,2017,66.56%,1
15-24,Bhutan,female,Central and Southern Asia,Total,2017,92.89%,1
15-24,Bhutan,male,Central and Southern Asia,Total,2017,93.27%,1
15-24,Bhutan,total,Central and Southern Asia,Total,2017,93.09%,1
25-64,Bhutan,female,Central and Southern Asia,Total,2017,48.42%,1
25-64,Bhutan,male,Central and Southern Asia,Total,2017,72.20%,1
25-64,Bhutan,total,Central and Southern Asia,Total,2017,61.07%,1
65+,Bhutan,female,Central and Southern Asia,Total,2017,9.41%,1
65+,Bhutan,male,Central and Southern Asia,Total,2017,35.97%,1
65+,Bhutan,total,Central and Southern Asia,Total,2017,22.86%,1
15+,India,female,Central and Southern Asia,Total,2011,59.28%,1
15+,India,male,Central and Southern Asia,Total,2011,78.88%,1
15+,India,total,Central and Southern Asia,Total,2011,69.30%,1
15-24,India,female,Central and Southern Asia,Total,2011,81.85%,1
15-24,India,male,Central and Southern Asia,Total,2011,90.04%,1
15-24,India,total,Central and Southern Asia,Total,2011,86.14%,1
25-64,India,female,Central and Southern Asia,Total,2011,54.00%,1
25-64,India,male,Central and Southern Asia,Total,2011,76.47%,1
25-64,India,total,Central and Southern Asia,Total,2011,65.43%,1
65+,India,female,Central and Southern Asia,Total,2011,26.70%,1
65+,India,male,Central and Southern Asia,Total,2011,57.18%,1
65+,India,total,Central and Southern Asia,Total,2011,41.60%,1
15+,India,female,Central and Southern Asia,Total,2018,65.79%,1
15+,India,male,Central and Southern Asia,Total,2018,82.37%,1
15+,India,total,Central and Southern Asia,Total,2018,74.37%,1
15-24,India,female,Central and Southern Asia,Total,2018,90.17%,1
15-24,India,male,Central and Southern Asia,Total,2018,92.99%,1
15-24,India,total,Central and Southern Asia,Total,2018,91.66%,1
25-64,India,female,Central and Southern Asia,Total,2018,61.73%,1
25-64,India,male,Central and Southern Asia,Total,2018,80.74%,1
25-64,India,total,Central and Southern Asia,Total,2018,71.58%,1
65+,India,female,Central and Southern Asia,Total,2018,30.29%,1
65+,India,male,Central and Southern Asia,Total,2018,61.67%,1
65+,India,total,Central and Southern Asia,Total,2018,45.38%,1
15+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2012,78.42%,1
15+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2012,88.88%,1
15+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2012,83.63%,1
15-24,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2012,97.66%,1
15-24,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2012,98.33%,1
15-24,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2012,98.01%,1
25-64,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2012,78.35%,1
25-64,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2012,90.17%,1
25-64,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2012,84.12%,1
65+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2012,20.64%,1
65+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2012,44.89%,1
65+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2012,32.62%,1
15+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2013,79.76%,1
15+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2013,89.54%,1
15+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2013,84.63%,1
15-24,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2013,97.44%,1
15-24,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2013,98.11%,1
15-24,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2013,97.78%,1
25-64,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2013,80.42%,1
25-64,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2013,91.25%,1
25-64,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2013,85.79%,1
65+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2013,22.46%,1
65+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2013,46.61%,1
65+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2013,34.25%,1
15+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2014,79.84%,1
15+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2014,89.64%,1
15+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2014,84.71%,1
15-24,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2014,97.68%,1
15-24,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2014,98.19%,1
15-24,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2014,97.94%,1
25-64,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2014,80.84%,1
25-64,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2014,91.41%,1
25-64,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2014,86.08%,1
65+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2014,22.45%,1
65+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2014,46.97%,1
65+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2014,34.29%,1
15+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2016,80.79%,1
15+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2016,90.35%,1
15+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2016,85.54%,1
15-24,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2016,97.93%,1
15-24,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2016,98.27%,1
15-24,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2016,98.10%,1
25-64,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2016,82.60%,1
25-64,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2016,92.26%,1
25-64,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2016,87.38%,1
65+,Iran (Islamic Republic of),female,Central and Southern Asia,Total,2016,24.88%,1
65+,Iran (Islamic Republic of),male,Central and Southern Asia,Total,2016,49.94%,1
65+,Iran (Islamic Republic of),total,Central and Southern Asia,Total,2016,36.77%,1
15+,Kazakhstan,female,Central and Southern Asia,Total,2010,99.74%,1
15+,Kazakhstan,male,Central and Southern Asia,Total,2010,99.83%,1
15+,Kazakhstan,total,Central and Southern Asia,Total,2010,99.78%,1
15-24,Kazakhstan,female,Central and Southern Asia,Total,2010,99.85%,1
15-24,Kazakhstan,male,Central and Southern Asia,Total,2010,99.94%,1
15-24,Kazakhstan,total,Central and Southern Asia,Total,2010,99.90%,1
25-64,Kazakhstan,female,Central and Southern Asia,Total,2010,99.75%,1
25-64,Kazakhstan,male,Central and Southern Asia,Total,2010,99.83%,1
25-64,Kazakhstan,total,Central and Southern Asia,Total,2010,99.79%,1
65+,Kazakhstan,female,Central and Southern Asia,Total,2010,99.52%,1
65+,Kazakhstan,male,Central and Southern Asia,Total,2010,99.45%,1
65+,Kazakhstan,total,Central and Southern Asia,Total,2010,99.50%,1
15+,Kyrgyzstan,female,Central and Southern Asia,Total,2018,99.50%,1
15+,Kyrgyzstan,male,Central and Southern Asia,Total,2018,99.68%,1
15+,Kyrgyzstan,total,Central and Southern Asia,Total,2018,99.59%,1
15-24,Kyrgyzstan,female,Central and Southern Asia,Total,2018,99.81%,1
15-24,Kyrgyzstan,male,Central and Southern Asia,Total,2018,99.69%,1
15-24,Kyrgyzstan,total,Central and Southern Asia,Total,2018,99.75%,1
25-64,Kyrgyzstan,female,Central and Southern Asia,Total,2018,99.78%,1
25-64,Kyrgyzstan,male,Central and Southern Asia,Total,2018,99.75%,1
25-64,Kyrgyzstan,total,Central and Southern Asia,Total,2018,99.77%,1
65+,Kyrgyzstan,female,Central and Southern Asia,Total,2018,96.16%,1
65+,Kyrgyzstan,male,Central and Southern Asia,Total,2018,98.71%,1
65+,Kyrgyzstan,total,Central and Southern Asia,Total,2018,97.13%,1
15+,Maldives,female,Central and Southern Asia,Total,2014,98.69%,1
15+,Maldives,male,Central and Southern Asia,Total,2014,98.52%,1
15+,Maldives,total,Central and Southern Asia,Total,2014,98.61%,1
15-24,Maldives,female,Central and Southern Asia,Total,2014,99.44%,1
15-24,Maldives,male,Central and Southern Asia,Total,2014,99.08%,1
15-24,Maldives,total,Central and Southern Asia,Total,2014,99.27%,1
25-64,Maldives,female,Central and Southern Asia,Total,2014,99.01%,1
25-64,Maldives,male,Central and Southern Asia,Total,2014,98.91%,1
25-64,Maldives,total,Central and Southern Asia,Total,2014,98.96%,1
65+,Maldives,female,Central and Southern Asia,Total,2014,92.14%,1
65+,Maldives,male,Central and Southern Asia,Total,2014,93.32%,1
65+,Maldives,total,Central and Southern Asia,Total,2014,92.76%,1
15+,Maldives,female,Central and Southern Asia,Total,2016,98.11%,1
15+,Maldives,male,Central and Southern Asia,Total,2016,97.30%,1
15+,Maldives,total,Central and Southern Asia,Total,2016,97.73%,1
15-24,Maldives,female,Central and Southern Asia,Total,2016,99.09%,1
15-24,Maldives,male,Central and Southern Asia,Total,2016,98.39%,1
15-24,Maldives,total,Central and Southern Asia,Total,2016,98.75%,1
25-64,Maldives,female,Central and Southern Asia,Total,2016,98.58%,1
25-64,Maldives,male,Central and Southern Asia,Total,2016,97.64%,1
25-64,Maldives,total,Central and Southern Asia,Total,2016,98.15%,1
65+,Maldives,female,Central and Southern Asia,Total,2016,89.09%,1
65+,Maldives,male,Central and Southern Asia,Total,2016,91.21%,1
65+,Maldives,total,Central and Southern Asia,Total,2016,90.23%,1
15+,Nepal,female,Central and Southern Asia,Total,2011,48.84%,1
15+,Nepal,male,Central and Southern Asia,Total,2011,71.71%,1
15+,Nepal,total,Central and Southern Asia,Total,2011,59.63%,1
15-24,Nepal,female,Central and Southern Asia,Total,2011,80.21%,1
15-24,Nepal,male,Central and Southern Asia,Total,2011,89.88%,1
15-24,Nepal,total,Central and Southern Asia,Total,2011,84.76%,1
25-64,Nepal,female,Central and Southern Asia,Total,2011,38.50%,1
25-64,Nepal,male,Central and Southern Asia,Total,2011,67.64%,1
25-64,Nepal,total,Central and Southern Asia,Total,2011,52.17%,1
65+,Nepal,female,Central and Southern Asia,Total,2011,6.03%,1
65+,Nepal,male,Central and Southern Asia,Total,2011,35.64%,1
65+,Nepal,total,Central and Southern Asia,Total,2011,20.78%,1
15+,Nepal,female,Central and Southern Asia,Total,2018,59.72%,1
15+,Nepal,male,Central and Southern Asia,Total,2018,78.59%,1
15+,Nepal,total,Central and Southern Asia,Total,2018,67.91%,1
15-24,Nepal,female,Central and Southern Asia,Total,2018,90.88%,1
15-24,Nepal,male,Central and Southern Asia,Total,2018,94.03%,1
15-24,Nepal,total,Central and Southern Asia,Total,2018,92.39%,1
25-64,Nepal,female,Central and Southern Asia,Total,2018,51.35%,1
25-64,Nepal,male,Central and Southern Asia,Total,2018,74.44%,1
25-64,Nepal,total,Central and Southern Asia,Total,2018,60.71%,1
65+,Nepal,female,Central and Southern Asia,Total,2018,8.65%,1
65+,Nepal,male,Central and Southern Asia,Total,2018,41.50%,1
65+,Nepal,total,Central and Southern Asia,Total,2018,23.63%,1
15+,Pakistan,female,Central and Southern Asia,Total,2010,41.02%,1
15+,Pakistan,male,Central and Southern Asia,Total,2010,68.90%,1
15+,Pakistan,total,Central and Southern Asia,Total,2010,55.38%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2010,62.30%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2010,79.50%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2010,71.26%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2010,30.99%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2010,66.11%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2010,48.68%,1
65+,Pakistan,female,Central and Southern Asia,Total,2010,23.76%,1
65+,Pakistan,male,Central and Southern Asia,Total,2010,35.78%,1
65+,Pakistan,total,Central and Southern Asia,Total,2010,24.85%,1
15+,Pakistan,female,Central and Southern Asia,Total,2011,41.98%,1
15+,Pakistan,male,Central and Southern Asia,Total,2011,66.99%,1
15+,Pakistan,total,Central and Southern Asia,Total,2011,54.74%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2011,63.14%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2011,78.04%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2011,70.77%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2011,31.91%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2011,64.11%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2011,48.03%,1
65+,Pakistan,female,Central and Southern Asia,Total,2011,9.88%,1
65+,Pakistan,male,Central and Southern Asia,Total,2011,33.73%,1
65+,Pakistan,total,Central and Southern Asia,Total,2011,23.98%,1
15+,Pakistan,female,Central and Southern Asia,Total,2012,43.07%,1
15+,Pakistan,male,Central and Southern Asia,Total,2012,69.86%,1
15+,Pakistan,total,Central and Southern Asia,Total,2012,56.76%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2012,64.47%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2012,80.29%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2012,72.58%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2012,32.67%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2012,67.07%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2012,49.95%,1
65+,Pakistan,female,Central and Southern Asia,Total,2012,9.49%,1
65+,Pakistan,male,Central and Southern Asia,Total,2012,36.80%,1
65+,Pakistan,total,Central and Southern Asia,Total,2012,25.50%,1
15+,Pakistan,female,Central and Southern Asia,Total,2013,41.97%,1
15+,Pakistan,male,Central and Southern Asia,Total,2013,68.63%,1
15+,Pakistan,total,Central and Southern Asia,Total,2013,55.59%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2013,63.44%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2013,79.40%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2013,71.64%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2013,31.70%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2013,65.79%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2013,48.79%,1
65+,Pakistan,female,Central and Southern Asia,Total,2013,9.13%,1
65+,Pakistan,male,Central and Southern Asia,Total,2013,35.31%,1
65+,Pakistan,total,Central and Southern Asia,Total,2013,24.51%,1
15+,Pakistan,female,Central and Southern Asia,Total,2014,44.28%,1
15+,Pakistan,male,Central and Southern Asia,Total,2014,69.07%,1
15+,Pakistan,total,Central and Southern Asia,Total,2014,56.98%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2014,65.55%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2014,79.77%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2014,72.80%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2014,33.77%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2014,66.25%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2014,50.18%,1
65+,Pakistan,female,Central and Southern Asia,Total,2014,9.96%,1
65+,Pakistan,male,Central and Southern Asia,Total,2014,35.71%,1
65+,Pakistan,total,Central and Southern Asia,Total,2014,25.29%,1
15+,Pakistan,female,Central and Southern Asia,Total,2017,46.47%,1
15+,Pakistan,male,Central and Southern Asia,Total,2017,71.12%,1
15+,Pakistan,total,Central and Southern Asia,Total,2017,59.13%,1
15-24,Pakistan,female,Central and Southern Asia,Total,2017,67.54%,1
15-24,Pakistan,male,Central and Southern Asia,Total,2017,81.26%,1
15-24,Pakistan,total,Central and Southern Asia,Total,2017,74.53%,1
25-64,Pakistan,female,Central and Southern Asia,Total,2017,35.74%,1
25-64,Pakistan,male,Central and Southern Asia,Total,2017,68.39%,1
25-64,Pakistan,total,Central and Southern Asia,Total,2017,52.34%,1
65+,Pakistan,female,Central and Southern Asia,Total,2017,10.68%,1
65+,Pakistan,male,Central and Southern Asia,Total,2017,38.14%,1
65+,Pakistan,total,Central and Southern Asia,Total,2017,27.06%,1
15+,Sri Lanka,female,Central and Southern Asia,Total,2010,89.96%,1
15+,Sri Lanka,male,Central and Southern Asia,Total,2010,92.58%,1
15+,Sri Lanka,total,Central and Southern Asia,Total,2010,91.18%,1
15-24,Sri Lanka,female,Central and Southern Asia,Total,2010,98.59%,1
15-24,Sri Lanka,male,Central and Southern Asia,Total,2010,97.69%,1
15-24,Sri Lanka,total,Central and Southern Asia,Total,2010,98.16%,1
25-64,Sri Lanka,female,Central and Southern Asia,Total,2010,90.76%,1
25-64,Sri Lanka,male,Central and Southern Asia,Total,2010,92.13%,1
25-64,Sri Lanka,total,Central and Southern Asia,Total,2010,91.40%,1
65+,Sri Lanka,female,Central and Southern Asia,Total,2010,69.79%,1
65+,Sri Lanka,male,Central and Southern Asia,Total,2010,85.20%,1
65+,Sri Lanka,total,Central and Southern Asia,Total,2010,76.70%,1
15+,Sri Lanka,female,Central and Southern Asia,Total,2016,91.49%,1
15+,Sri Lanka,male,Central and Southern Asia,Total,2016,93.46%,1
15+,Sri Lanka,total,Central and Southern Asia,Total,2016,92.39%,1
15-24,Sri Lanka,female,Central and Southern Asia,Total,2016,98.94%,1
15-24,Sri Lanka,male,Central and Southern Asia,Total,2016,98.41%,1
15-24,Sri Lanka,total,Central and Southern Asia,Total,2016,98.69%,1
25-64,Sri Lanka,female,Central and Southern Asia,Total,2016,92.73%,1
25-64,Sri Lanka,male,Central and Southern Asia,Total,2016,93.35%,1
25-64,Sri Lanka,total,Central and Southern Asia,Total,2016,93.01%,1
65+,Sri Lanka,female,Central and Southern Asia,Total,2016,76.31%,1
65+,Sri Lanka,male,Central and Southern Asia,Total,2016,86.83%,1
65+,Sri Lanka,total,Central and Southern Asia,Total,2016,80.97%,1
15+,Sri Lanka,female,Central and Southern Asia,Total,2017,90.97%,1
15+,Sri Lanka,male,Central and Southern Asia,Total,2017,92.98%,1
15+,Sri Lanka,total,Central and Southern Asia,Total,2017,91.90%,1
15-24,Sri Lanka,female,Central and Southern Asia,Total,2017,99.15%,1
15-24,Sri Lanka,male,Central and Southern Asia,Total,2017,98.55%,1
15-24,Sri Lanka,total,Central and Southern Asia,Total,2017,98.86%,1
25-64,Sri Lanka,female,Central and Southern Asia,Total,2017,92.14%,1
